Prvn,PROV,aqi,pm2.5,pm10,HASC
安徽省,安徽,79.25,54.41,80.95,CH.AH
北京市,北京,113.17,78.55,98.19,CH.BJ
福建省,福建,48.64,27.87,47.96,CH.FJ
广东省,广东,53.47,32.88,50.9,CH.GD
广西壮族自治区,广西,60.45,39.13,59.37,CH.GX
海南省,海南,38.14,18.46,34.26,CH.HN
河北省,河北,113.08,76.29,135.74,CH.HB
河南省,河南,114.02,79.3,134.37,CH.HN
黑龙江省,黑龙江,64.11,38.5,64.37,CH.HL
湖北省,湖北,92.54,64.44,98.7,CH.HB
湖南省,湖南,76.24,51.28,81.14,CH.HN
吉林省,吉林,83.05,53.39,85.75,CH.JL
江苏省,江苏,86.42,55.8,90.78,CH.JS
江西省,江西,63.46,41.9,65.73,CH.JX
辽宁省,辽宁,85.43,53.83,88.41,CH.LN
内蒙古自治区,内蒙古,75.42,39.46,86.63,CH.NM
山东省,山东,99.63,65.32,112.89,CH.SD
山西省,山西,86.74,55.13,98,CH.SX
上海市,上海,81.28,53.36,71.38,CH.SH
天津市,天津,103.31,69.96,118.7,CH.TJ
浙江省,浙江,72.82,46.88,72.34,CH.ZJ
重庆市,重庆,77.85,53.88,83.82,CH.CQ
四川省,四川,71.67,45.75,74.34,CH.SC
甘肃省,甘肃,78.58,40.15,93.64,CH.GS
贵州省,贵州,52.76,30.73,52.54,CH.GZ
宁夏回族自治区,宁夏,86.88,45.4,104.82,CH.NX
青海省,青海,77.32,41.62,83.59,CH.QH
陕西省,陕西,83.49,50.98,96.24,CH.SA
西藏自治区,西藏,56.53,23.94,50.85,CH.XZ
新疆维吾尔自治区,新疆,101.29,52.22,130.15,CH.XJ
云南省,云南,48.73,26.96,44.47,CH.YN
